filename,Garbage,Null
paper584_jpg.rf.fada2e0991b64d3585550cd18ddfcad6.jpg,0,1
33-6765375--112-0201429_A3_jpg.rf.726cd95c9db9a35a7b4e9f276299feda.jpg,0,1
G00003414.jpg,1,0
plastic226_jpg.rf.baf5f56175277d9e49624c14b47d0ea4.jpg,0,1
G00000881.jpg,1,0
G00003792.jpg,1,0
cardboard320_jpg.rf.4e82d453a3abe155ed22bb7b9abb83d9.jpg,0,1
G00002483.jpg,1,0
paper441_jpg.rf.87699e550489cc2913fad9c37b6ae24d.jpg,0,1
G00000577.jpg,1,0
G00001895.jpg,1,0
G00000958.jpg,1,0
G00001330.jpg,1,0
29-380583--98-462768_A1_jpg.rf.611cd08fda41ad1f10590012e967ee87.jpg,0,1
G00002449.jpg,1,0
34-0908306--118-3005031_A1_jpg.rf.3b698172b5853ae160cee4a8f38bae7d.jpg,0,1
G00001840.jpg,1,0
trash51_jpg.rf.90aa3f6df4d217f344a76d2d69f659a2.jpg,0,1
glass288_jpg.rf.474686dbb5f1d71be9eeb7e6a2afcba4.jpg,0,1
G00003031.jpg,1,0
brown-glass102_jpg.rf.28a58a274b179d465fd216918f64ceaf.jpg,0,1
G00002140.jpg,1,0
plastic84_jpg.rf.4f713282925c4c53d9b4a8ee014de3f9.jpg,0,1
34-0961516--118-3302846_A2_jpg.rf.3e96d5a529cb81839742dfdb0469ef5f.jpg,0,1
G00000399.jpg,1,0
metal372_jpg.rf.73981ee0e120319fbc916e2bed416442.jpg,0,1
G00000662.jpg,1,0
36-1949742--115-253869_A2_jpg.rf.0d44f8e0297117aa2db2b131b60ae7f4.jpg,0,1
metal174_jpg.rf.421274a7528906b44a122c408521ae9d.jpg,0,1
G00003410.jpg,1,0
Glass26_png.rf.0860573cb4e273b41dc642c44771e57e.jpg,0,1
metal17_jpg.rf.3278035bd0b8f1fd52e8cba4211f7aaf.jpg,0,1
25-7399728--80-2409622_A3_jpg.rf.4fdfc5e2b0417b8058a873994323cb74.jpg,0,1
G00000736.jpg,1,0
glass500_jpg.rf.b246e24e24a7e2aaeab5f285d74003d8.jpg,0,1
G00000760.jpg,1,0
glass249_jpg.rf.0c29c978ed8f5a3f627d60561301d127.jpg,0,1
41-9308255--87-800985_A4_jpg.rf.bf5c2c55f67371600b3fe81e15865129.jpg,0,1
G00002084.jpg,1,0
G00004151.jpg,1,0
G00000380.jpg,1,0
metal96_jpg.rf.34cc3f7d3ee6e10a8aec1356e5c05c27.jpg,0,1
G00004041.jpg,1,0
paper511_jpg.rf.e90a4266f9457b9cf5b40d93b55ac01e.jpg,0,1
40-7379026--74-174012_A3_jpg.rf.91918319a3b0595e557c73d3bc1e96e3.jpg,0,1
G00002573.jpg,1,0
G00004086.jpg,1,0
G00000953.jpg,1,0
metal221_jpg.rf.955c39d7eb603b239f8b767be59db0b2.jpg,0,1
G00004174.jpg,1,0
G00000085.jpg,1,0
G00002374.jpg,1,0
G00001279.jpg,1,0
33-5136108--112-0436049_A3_jpg.rf.0f1b4668ca9b71c51380a7866411ba12.jpg,0,1
G00002446.jpg,1,0
G00000188.jpg,1,0
G00001954.jpg,1,0
cardboard773_jpg.rf.4928f8623a348bdd0955b6080665935a.jpg,0,1
G00001744.jpg,1,0
40-7240401--74-1873244_A1_jpg.rf.2ce85b32a8857438f6057de4bd80b787.jpg,0,1
G00000343.jpg,1,0
metal313_jpg.rf.09d536a69351a7be44ffc6f5e4e53572.jpg,0,1
plastic430_jpg.rf.c0e35c8a538bda01717f0ac259ea6487.jpg,0,1
41-7088222--87-60398_A2_jpg.rf.ba69dbdcb0942882eec0a8c77c9cfc0f.jpg,0,1
G00001256.jpg,1,0
G00000738.jpg,1,0
white-glass472_jpg.rf.c2e04e02b52e8d0110ef30447464a5d5.jpg,0,1
41-8416252--87-645729_A2_jpg.rf.00bf49a4b608b4ce3781ad208db86798.jpg,0,1
paper408_jpg.rf.a09c929378ea93ade03af73f57f2d9c9.jpg,0,1
G00002486.jpg,1,0
glass138_jpg.rf.c5c1feb70045953d5bcb4a9057e31db2.jpg,0,1
G00001850.jpg,1,0
metal242_jpg.rf.0a7617f7df32cb98157953cdf3c3968e.jpg,0,1
G00002135.jpg,1,0
plastic171_jpg.rf.a2ee65d76d6f1631a358719f7c9230b2.jpg,0,1
plastic321_jpg.rf.3f9c8f860841f5952ba035ed3e58d35c.jpg,0,1
G00000951.jpg,1,0
G00000390.jpg,1,0
glass92_jpg.rf.bf3583320e3d39746c8523cb44b24a22.jpg,0,1
G00002372.jpg,1,0
paper341_jpg.rf.cc27026cbd2aba4a22d802acf12b8cb7.jpg,0,1
G00000924.jpg,1,0
G00003913.jpg,1,0
G00003625.jpg,1,0
G00001649.jpg,1,0
G00000854.jpg,1,0
glass392_jpg.rf.3f921d8263cdd7e89465115a9d33df80.jpg,0,1
cardboard527_jpg.rf.7e4f7935faa3f761b285f6492036aefd.jpg,0,1
cardboard119_jpg.rf.3358d2f3b94a16e212b3ab8c5caba7cb.jpg,0,1
metal347_jpg.rf.28ffb6386e4c33dbbf4181b9c752d5b0.jpg,0,1
G00000121.jpg,1,0
G00000589.jpg,1,0
G00001465.jpg,1,0
G00000286.jpg,1,0
G00002151.jpg,1,0
Datacluster-Trash-42-_jpg.rf.7b7349afec9c437b8d0f538ede102687.jpg,0,1
G00004067.jpg,1,0
plastic322_jpg.rf.74946026c6fe712024e9dcc807363cab.jpg,0,1
G00002043.jpg,1,0
5458450.jpg,0,1
G00002331.jpg,1,0
green-glass37_jpg.rf.1f3e7e470a454a5358aedd79b7d59578.jpg,0,1
cardboard729_jpg.rf.55685fd40fdf41334288b291fbc9c83d.jpg,0,1
G00001116.jpg,1,0
G00001057.jpg,1,0
plastic250_jpg.rf.05d77653e82ab167d2a6658eb9a5b01c.jpg,0,1
paper429_jpg.rf.78a67165bc7e658b8e44878b0b7b21c3.jpg,0,1
G00000954.jpg,1,0
cardboard153_jpg.rf.5b0ee11ec94d8f2310ee3f69ca105b6b.jpg,0,1
plastic674_jpg.rf.a10d5c939c8cde3c39d3e591686ecc4f.jpg,0,1
G00003880.jpg,1,0
plastic209_jpg.rf.0a8b6f08a5040327078655f99365403f.jpg,0,1
brown-glass5_jpg.rf.d89308e50bfdd9f0ba0f04f2bd04299f.jpg,0,1
G00002869.jpg,1,0
brown-glass589_jpg.rf.0149d90ab9b9917da3ae5e02660fbc40.jpg,0,1
41-7310151--87-6787252_A3_jpg.rf.d67f154ca1bb24907500eeb447cec2e7.jpg,0,1
G00000918.jpg,1,0
G00002587.jpg,1,0
G00000087.jpg,1,0
G00000206.jpg,1,0
paper459_jpg.rf.90c221c6009a9461db1c02ced709a9d4.jpg,0,1
G00000682.jpg,1,0
glass403_jpg.rf.6561f41cad438d506c9b7320652da323.jpg,0,1
trash17_jpg.rf.1454ab41016690f0910bf9392cf64ed0.jpg,0,1
G00001925.jpg,1,0
plastic17_jpg.rf.19760c65a8980d0bd8a8510e00bb8d4e.jpg,0,1
G00003927.jpg,1,0
plastic9_jpg.rf.bc2956a5daf6d2f1b818fd973c8451d5.jpg,0,1
40-7484303--73-9824775_A4_jpg.rf.f1f201d1cdb49d9c3de6b5a6afa07e1e.jpg,0,1
white-glass672_jpg.rf.fdb3ca02a2eb3d55dc739a87042568dc.jpg,0,1
G00002620.jpg,1,0
25-7871431--80-1952642_A4_jpg.rf.bb9ae565914848e0592c4ef429a05e3a.jpg,0,1
G00002162.jpg,1,0
metal63_jpg.rf.afe245fea62437c27812e7789b42acaa.jpg,0,1
trash83_jpg.rf.5a2cd96a533169c1fc325497cb13beca.jpg,0,1
G00000994.jpg,1,0
G00001283.jpg,1,0
G00000050.jpg,1,0
paper514_jpg.rf.7a78a4c832467c69a57bd5be672f562c.jpg,0,1
biological823_jpg.rf.f99e59bf93fb979eeefc346b1f833981.jpg,0,1
G00003142.jpg,1,0
G00000341.jpg,1,0
white-glass245_jpg.rf.54a7bc3886dc2ae5290e81b53e7ec797.jpg,0,1
G00002016.jpg,1,0
metal273_jpg.rf.610616ad1e1f4adf56ec101d20fd2a66.jpg,0,1
metal43_jpg.rf.ee0178e92e2d1a6700d32fdb75a73dbd.jpg,0,1
cardboard364_jpg.rf.282ea88f8fd3b102e52432932b7fc1f7.jpg,0,1
G00003295.jpg,1,0
paper436_jpg.rf.d18c11aba3767dd4d1f5507c2bfe4c56.jpg,0,1
G00004001.jpg,1,0
plastic844_jpg.rf.9c4fb4a5ca3fa41b249b182fa4615f48.jpg,0,1
G00000454.jpg,1,0
G00003527.jpg,1,0
G00001278.jpg,1,0
paper315_jpg.rf.6b0209721322f02be5dddbbca527929c.jpg,0,1
plastic172_jpg.rf.6d82bc4931fe7471ad12db0684a53e4c.jpg,0,1
metal330_jpg.rf.60435988c9d466ad954c8bc866c138b5.jpg,0,1
white-glass222_jpg.rf.c4134304f15ce91fb0065844be23f91c.jpg,0,1
G00002888.jpg,1,0
glass89_jpg.rf.c60f7ac0498600d864de97892c33f263.jpg,0,1
cardboard158_jpg.rf.fea8a626faa3c90af350126303da34f2.jpg,0,1
G00002447.jpg,1,0
paper589_jpg.rf.edbfd9bed403b3d100fef4317850fe7f.jpg,0,1
G00003623.jpg,1,0
25-7103775--80-2610199_A4_jpg.rf.1299908b924390ef57c3c3927ca809bc.jpg,0,1
green-glass533_jpg.rf.15d14c4922de32815c4547a74b8ce146.jpg,0,1
plastic857_jpg.rf.342481538b4aff8d91400c6046902885.jpg,0,1
G00000720.jpg,1,0
G00001763.jpg,1,0
metal89_jpg.rf.2c941d1eddb4e54907e0cc343dfa3409.jpg,0,1
Metal18_png.rf.0d48c8cb50e4df74bb9399a122c5947e.jpg,0,1
40-7269977--74-1735158_A2_jpg.rf.0dfe01b1243a21d1ec500f76b8065b7d.jpg,0,1
G00004125.jpg,1,0
G00002883.jpg,1,0
G00002379.jpg,1,0
plastic320_jpg.rf.a6b97aa96c9ae67c68ebc41b1aa254be.jpg,0,1
G00003740.jpg,1,0
paper186_jpg.rf.12b58394fa2f75af2d375fca1e9a5692.jpg,0,1
34-099895--118-3148251_A4_jpg.rf.5425839d64ec9aa7af5ed5c97aa3fc2a.jpg,0,1
G00000456.jpg,1,0
G00003173.jpg,1,0
Garbage31_png.rf.1a9d189789bf6794b25d3090c0817dde.jpg,0,1
G00003680.jpg,1,0
34-1048106--118-2994766_A3_jpg.rf.d7d69c0847414bd4b0c6b952f9669743.jpg,0,1
G00002503.jpg,1,0
green-glass420_jpg.rf.a2c7ee594e8c9e0cf9462c751c8ffb4c.jpg,0,1
29-459598--98-602536_A3_jpg.rf.92600e40f8e4158fe83000a10a4b82c6.jpg,0,1
G00002219.jpg,1,0
G00000458.jpg,1,0
G00001461.jpg,1,0
G00002972.jpg,1,0
G00001629.jpg,1,0
G00004069.jpg,1,0
trash78_jpg.rf.08563e0673a0378df1de2fe9e69c1b3d.jpg,0,1
9424455.jpg,0,1
41-8417027--87-6465081_A2_jpg.rf.81b7f6d77e179fe590324b627dc9723e.jpg,0,1
glass36_jpg.rf.2626adde1a58094ee2837fcb3c5e32e6.jpg,0,1
plastic484_jpg.rf.15a167b705fffb75ade73659a7880336.jpg,0,1
25-8468004--80-1733426_A3_jpg.rf.d40f3c5c6203b9be34e5ae2a727c0794.jpg,0,1
G00002663.jpg,1,0
paper495_jpg.rf.ba34d9a02fedaeff9014b11b05b6e317.jpg,0,1
