filename,Cardboard,Garbage,Glass,Metal,Paper,Plastic,Trash,GarbageBag,PaperBag,PlasticBag
PL00004099.jpg,0,0,0,0,0,0,0,0,0,1
PL00004019.jpg,0,0,0,0,0,0,0,0,0,1
PL00004716.jpg,0,0,0,0,0,0,0,0,0,1
PL00004199.jpg,0,0,0,0,0,0,0,0,0,1
cardboard834_jpg.rf.5d39de3477608dd3ff76ed27c0b0dfdb.jpg, 1, 0, 0, 0, 0, 0, 0,0,0,0
G00004824.jpg,0,0,0,0,0,0,0,1,0,0
P00004498.jpg,0,0,0,0,0,0,0,0,1,0
glass250_jpg.rf.0b26f365d45553c57d1d129dafed722a.jpg, 0, 0, 1, 0, 0, 0, 0,0,0,0
paper462_jpg.rf.6aff707157e623e94f69d75d1475c5c2.jpg, 0, 0, 0, 0, 1, 0, 0,0,0,0
PL00004710.jpg,0,0,0,0,0,0,0,0,0,1
PLrenameFiles_folder.py,0,0,0,0,0,0,0,0,0,1
G00004073.jpg,0,0,0,0,0,0,0,1,0,0
G00004843.jpg,0,0,0,0,0,0,0,1,0,0
G00004844.jpg,0,0,0,0,0,0,0,1,0,0
G00004691.jpg,0,0,0,0,0,0,0,1,0,0
metal377_jpg.rf.720a90f9c819516f9a2f34e0c216bb10.jpg, 0, 0, 0, 1, 0, 0, 0,0,0,0
P00004428.jpg,0,0,0,0,0,0,0,0,1,0
PL00004667.jpg,0,0,0,0,0,0,0,0,0,1
P00004874.jpg,0,0,0,0,0,0,0,0,1,0
P00004363.jpg,0,0,0,0,0,0,0,0,1,0
G00004173.jpg,0,0,0,0,0,0,0,1,0,0
G00004422.jpg,0,0,0,0,0,0,0,1,0,0
G00004340.jpg,0,0,0,0,0,0,0,1,0,0
G00004620.jpg,0,0,0,0,0,0,0,1,0,0
paper221_jpg.rf.909816437fa5d883e1a5d8bbde6d9a1b.jpg, 0, 0, 0, 0, 1, 0, 0,0,0,0
P00004255.jpg,0,0,0,0,0,0,0,0,1,0
PL00004679.jpg,0,0,0,0,0,0,0,0,0,1
G00004478.jpg,0,0,0,0,0,0,0,1,0,0
G00004253.jpg,0,0,0,0,0,0,0,1,0,0
G00004973.jpg,0,0,0,0,0,0,0,1,0,0
PL00004033.jpg,0,0,0,0,0,0,0,0,0,1
P00004031.jpg,0,0,0,0,0,0,0,0,1,0
PL00004020.jpg,0,0,0,0,0,0,0,0,0,1
P00004052.jpg,0,0,0,0,0,0,0,0,1,0
PL00004171.jpg,0,0,0,0,0,0,0,0,0,1
P00004761.jpg,0,0,0,0,0,0,0,0,1,0
G00004197.jpg,0,0,0,0,0,0,0,1,0,0
PL00004200.jpg,0,0,0,0,0,0,0,0,0,1
P00004093.jpg,0,0,0,0,0,0,0,0,1,0
G00004123.jpg,0,0,0,0,0,0,0,1,0,0
P00004897.jpg,0,0,0,0,0,0,0,0,1,0
metal394_jpg.rf.98a0742fe33163c01ba651daebd2788e.jpg, 0, 0, 0, 1, 0, 0, 0,0,0,0
P00004347.jpg,0,0,0,0,0,0,0,0,1,0
PL00004914.jpg,0,0,0,0,0,0,0,0,0,1
G00004006.jpg,0,0,0,0,0,0,0,1,0,0
P00004134.jpg,0,0,0,0,0,0,0,0,1,0
PL00004497.jpg,0,0,0,0,0,0,0,0,0,1
G00004395.jpg,0,0,0,0,0,0,0,1,0,0
PL00004301.jpg,0,0,0,0,0,0,0,0,0,1
G00004326.jpg,0,0,0,0,0,0,0,1,0,0
PL00004712.jpg,0,0,0,0,0,0,0,0,0,1
P00004060.jpg,0,0,0,0,0,0,0,0,1,0
