filename,Cardboard,Glass,Metal,Paper,Plastic,Trash,GarbageBag,PaperBag,PlasticBag,Null
G00002940.jpg,0,0,0,0,0,0,1,0,0,0
Screenshot-from-2023-05-06-13-46-09_png.rf.736e22af5c2446dbfde7bf445beab420.jpg, 0, 1, 1, 0, 0, 0,0,0,0,0
P00001765.jpg,0,0,0,0,0,0,0,1,0,0
PL00004439.jpg,0,0,0,0,0,0,0,0,0,1
PL00004643.jpg,0,0,0,0,0,0,0,0,0,1
P00001122.jpg,0,0,0,0,0,0,0,1,0,0
_IMG_4889_JPG.rf.417b9ec5763c8ee0795319d63c47cdba.jpg, 0, 0, 1, 0, 0, 0,0,0,0,0
_000082_JPG.rf.720c13c657c4ddbec4ece74630df2b23.jpg, 0, 0, 0, 0, 0, 1,0,0,0,0
PL00003297.jpg,0,0,0,0,0,0,0,0,0,1
PL00001986.jpg,0,0,0,0,0,0,0,0,1,0
PL00002630.jpg,0,0,0,0,0,0,0,0,0,1
PL00001822.jpg,0,0,0,0,0,0,0,0,0,1
PL00003899.jpg,0,0,0,0,0,0,0,0,0,1
PL00000399.jpg,0,0,0,0,0,0,0,0,0,1
P00002949.jpg,0,0,0,0,0,0,0,1,0,0
P00003649.jpg,0,0,0,0,0,0,0,1,0,0
PL00000324.jpg,0,0,0,0,0,0,0,0,1,0
PL00002069.jpg,0,0,0,0,0,0,0,0,0,1
G00003164.jpg,0,0,0,0,0,0,1,0,0,0
glass164_jpg.rf.a5703d51276bbff04530c39126ed6895.jpg, 0, 0, 0, 0, 0, 0,0,0,0,0
P00003133.jpg,0,0,0,0,0,0,0,1,0,0
P00001468.jpg,0,0,0,0,0,0,0,1,0,0
trash36_jpg.rf.4c13ceca8a918be6aac96c5394a90506.jpg, 0, 0, 0, 0, 0, 1,0,0,0,0
G00004000.jpg,0,0,0,0,0,0,1,0,0,0
PL00001179.jpg,0,0,0,0,0,0,0,0,1,0
metal646_jpg.rf.65b3a1e2e81b702479afec9fc543d5bb.jpg, 0, 0, 1, 0, 0, 0,0,0,0,0
PL00001950.jpg,0,0,0,0,0,0,0,0,1,0
PL00004861.jpg,0,0,0,0,0,0,0,0,0,1
green-glass465_jpg.rf.3da338cdd671ae993c29e1a127c3dc4d.jpg, 0, 0, 0, 0, 0, 0,0,0,0,0
PL00000873.jpg,0,0,0,0,0,0,0,0,0,1
white-glass68_jpg.rf.f21042d00de437819baa2d8767b0b1f2.jpg, 0, 0, 0, 0, 0, 0,0,0,0,0
PL00002727.jpg,0,0,0,0,0,0,0,0,1,0
G00001498.jpg,0,0,0,0,0,0,1,0,0,0
PL00004857.jpg,0,0,0,0,0,0,0,0,0,1
metal388_jpg.rf.d9684a964271a90c7d47f5395faf9c20.jpg, 0, 0, 1, 0, 0, 0,0,0,0,0
plastic68_jpg.rf.22bb1cccf74d8eb198047aff146df501.jpg, 0, 0, 0, 0, 1, 0,0,0,0,0
PL00002043.jpg,0,0,0,0,0,0,0,0,0,1
P00000981.jpg,0,0,0,0,0,0,0,1,0,0
G00004307.jpg,0,0,0,0,0,0,1,0,0,0
plastic96_jpg.rf.095809b6d77228d30c159a36c647022b.jpg, 0, 0, 0, 0, 1, 0,0,0,0,0
P00001419.jpg,0,0,0,0,0,0,0,1,0,0
P00001884.jpg,0,0,0,0,0,0,0,1,0,0
G00001850.jpg,0,0,0,0,0,0,1,0,0,0
PL00000551.jpg,0,0,0,0,0,0,0,0,0,1
PL00004917.jpg,0,0,0,0,0,0,0,0,0,1
PL00003052.jpg,0,0,0,0,0,0,0,0,1,0
PL00002145.jpg,0,0,0,0,0,0,0,0,1,0
P00004755.jpg,0,0,0,0,0,0,0,1,0,0
PL00004855.jpg,0,0,0,0,0,0,0,0,1,0
G00002484.jpg,0,0,0,0,0,0,1,0,0,0
PL00001127.jpg,0,0,0,0,0,0,0,0,1,0
glass315_jpg.rf.ee759941527cc86997b4266a171fe24a.jpg, 0, 0, 0, 0, 0, 0,0,0,0,0
P00001853.jpg,0,0,0,0,0,0,0,1,0,0
PL00002018.jpg,0,0,0,0,0,0,0,0,1,0
paper311_jpg.rf.bab28acc012c4e157b50621077adf6d6.jpg, 0, 0, 0, 1, 0, 0,0,0,0,0
G00002180.jpg,0,0,0,0,0,0,1,0,0,0
PL00002363.jpg,0,0,0,0,0,0,0,0,0,1
PL00000906.jpg,0,0,0,0,0,0,0,0,0,1
PL00002322.jpg,0,0,0,0,0,0,0,0,0,1
P00002159.jpg,0,0,0,0,0,0,0,1,0,0
PL00003503.jpg,0,0,0,0,0,0,0,0,0,1
glass220_jpg.rf.316beecd795dd682902d636f3daf7961.jpg, 0, 0, 0, 0, 0, 0,0,0,0,0
G00003458.jpg,0,0,0,0,0,0,1,0,0,0
P00000214.jpg,0,0,0,0,0,0,0,1,0,0
PL00000678.jpg,0,0,0,0,0,0,0,0,1,0
G00004282.jpg,0,0,0,0,0,0,1,0,0,0
G00004473.jpg,0,0,0,0,0,0,1,0,0,0
P00000175.jpg,0,0,0,0,0,0,0,1,0,0
PL00003737.jpg,0,0,0,0,0,0,0,0,1,0
